qid,pocket_a,pocket_b,core6,silent_a,silent_b,x,y,z
0,0,31,0 1 2 14 15 17,27,28,0,0,0
1,34,38,0 1 3 14 16 18,27,29,0,1,0
2,9,14,0 1 4 10 11 14,9,19,0,1,2
3,2,28,0 1 5 7 12 14,26,29,0,2,1
4,19,24,0 1 6 8 13 14,26,28,0,1,1
5,6,41,0 1 14 20 30 32,27,19,0,2,0
6,5,51,0 1 14 21 31 33,26,19,0,0,1
7,1,44,0 1 14 22 24 34,9,29,0,0,2
8,16,50,0 1 14 23 25 35,9,28,0,2,2
9,15,30,2 3 19 20 28 29,27,14,2,1,2
10,35,36,2 9 13 26 27 35,28,14,1,2,2
11,8,22,3 9 12 26 27 34,14,29,1,1,1
12,3,26,4 9 20 21 26 27,19,14,1,0,0
13,46,47,4 19 28 29 34 35,14,9,2,2,2
14,27,29,5 6 19 28 29 33,1,26,2,2,1
15,10,11,5 9 16 22 26 27,29,1,1,2,1
16,7,39,6 9 15 23 26 27,28,1,1,0,2
17,33,48,7 8 19 28 29 31,26,0,2,1,0
18,17,49,7 9 18 24 26 27,29,0,1,0,1
19,4,12,8 9 17 25 26 27,0,28,1,1,2
20,20,21,9 10 26 27 30 31,19,0,1,2,0
21,18,37,9 11 26 27 32 33,1,19,1,1,0
22,13,45,10 19 24 25 28 29,0,9,2,0,0
23,25,43,11 19 22 23 28 29,9,1,2,1,1
24,23,52,12 13 19 21 28 29,14,26,2,0,2
25,32,53,15 16 19 28 29 32,1,27,2,0,1
26,40,42,17 18 19 28 29 30,0,27,2,2,0
