line_id,a,b,c,odd_nonface_preimages,even_nonface_preimages,total_preimages
14,0,20,32,6,3,10
25,0,21,33,6,3,10
31,0,22,34,6,3,10
35,0,23,35,6,3,10
34,1,20,30,6,3,10
21,1,21,31,6,3,10
27,1,24,34,6,3,10
28,1,25,35,6,3,10
22,2,20,29,6,3,10
5,2,22,31,6,3,10
11,2,24,33,6,3,10
37,2,26,35,6,3,10
26,3,20,28,6,3,10
1,3,23,31,6,3,10
9,3,25,33,6,3,10
36,3,26,34,6,3,10
32,4,20,26,6,3,10
30,4,21,27,6,3,10
15,4,28,34,6,3,10
20,4,29,35,6,3,10
10,5,20,25,6,3,10
38,5,22,27,6,3,10
17,5,28,33,6,3,10
4,5,30,35,6,3,10
8,6,20,24,6,3,10
33,6,23,27,6,3,10
13,6,29,33,6,3,10
2,6,30,34,6,3,10
6,7,20,23,6,3,10
18,7,24,27,6,3,10
24,7,28,31,6,3,10
12,7,32,35,6,3,10
3,8,20,22,6,3,10
19,8,25,27,6,3,10
29,8,29,31,6,3,10
7,8,32,34,6,3,10
16,9,20,21,6,3,10
0,9,26,27,6,3,10
39,9,30,31,6,3,10
23,9,32,33,6,3,10
