orbit_idx,pocket,pocket_key,silent_vertex,global_index_in_540
0,0 1 2 14 15 17 27,"[0, 1, 2, 14, 15, 17, 27]",27,0
1,0 1 9 14 22 24 34,"[0, 1, 9, 14, 22, 24, 34]",9,10
2,0 1 5 7 12 14 26,"[0, 1, 5, 7, 12, 14, 26]",26,6
3,4 9 19 20 21 26 27,"[4, 9, 19, 20, 21, 26, 27]",19,356
4,0 8 9 17 25 26 27,"[0, 8, 9, 17, 25, 26, 27]",0,87
5,0 1 14 21 26 31 33,"[0, 1, 14, 21, 26, 31, 33]",26,15
6,0 1 14 20 27 30 32,"[0, 1, 14, 20, 27, 30, 32]",27,14
7,6 9 15 23 26 27 28,"[6, 9, 15, 23, 26, 27, 28]",28,417
8,3 9 12 14 26 27 34,"[3, 9, 12, 14, 26, 27, 34]",14,307
9,0 1 4 9 10 11 14,"[0, 1, 4, 9, 10, 11, 14]",9,4
10,5 9 16 22 26 27 29,"[5, 9, 16, 22, 26, 27, 29]",29,390
11,1 5 9 16 22 26 27,"[1, 5, 9, 16, 22, 26, 27]",1,152
12,8 9 17 25 26 27 28,"[8, 9, 17, 25, 26, 27, 28]",28,453
13,0 10 19 24 25 28 29,"[0, 10, 19, 24, 25, 28, 29]",0,102
14,0 1 4 10 11 14 19,"[0, 1, 4, 10, 11, 14, 19]",19,5
15,2 3 19 20 27 28 29,"[2, 3, 19, 20, 27, 28, 29]",27,202
16,0 1 9 14 23 25 35,"[0, 1, 9, 14, 23, 25, 35]",9,11
17,7 9 18 24 26 27 29,"[7, 9, 18, 24, 26, 27, 29]",29,438
18,1 9 11 26 27 32 33,"[1, 9, 11, 26, 27, 32, 33]",1,181
19,0 1 6 8 13 14 26,"[0, 1, 6, 8, 13, 14, 26]",26,8
20,9 10 19 26 27 30 31,"[9, 10, 19, 26, 27, 30, 31]",19,465
21,0 9 10 26 27 30 31,"[0, 9, 10, 26, 27, 30, 31]",0,94
22,3 9 12 26 27 29 34,"[3, 9, 12, 26, 27, 29, 34]",29,311
23,12 13 14 19 21 28 29,"[12, 13, 14, 19, 21, 28, 29]",14,512
24,0 1 6 8 13 14 28,"[0, 1, 6, 8, 13, 14, 28]",28,9
25,9 11 19 22 23 28 29,"[9, 11, 19, 22, 23, 28, 29]",9,466
26,4 9 14 20 21 26 27,"[4, 9, 14, 20, 21, 26, 27]",14,354
27,1 5 6 19 28 29 33,"[1, 5, 6, 19, 28, 29, 33]",1,149
28,0 1 5 7 12 14 29,"[0, 1, 5, 7, 12, 14, 29]",29,7
29,5 6 19 26 28 29 33,"[5, 6, 19, 26, 28, 29, 33]",26,374
30,2 3 14 19 20 28 29,"[2, 3, 14, 19, 20, 28, 29]",14,200
31,0 1 2 14 15 17 28,"[0, 1, 2, 14, 15, 17, 28]",28,1
32,1 15 16 19 28 29 32,"[1, 15, 16, 19, 28, 29, 32]",1,191
33,7 8 19 26 28 29 31,"[7, 8, 19, 26, 28, 29, 31]",26,433
34,0 1 3 14 16 18 27,"[0, 1, 3, 14, 16, 18, 27]",27,2
35,2 9 13 26 27 28 35,"[2, 9, 13, 26, 27, 28, 35]",28,254
36,2 9 13 14 26 27 35,"[2, 9, 13, 14, 26, 27, 35]",14,250
37,9 11 19 26 27 32 33,"[9, 11, 19, 26, 27, 32, 33]",19,467
38,0 1 3 14 16 18 29,"[0, 1, 3, 14, 16, 18, 29]",29,3
39,1 6 9 15 23 26 27,"[1, 6, 9, 15, 23, 26, 27]",1,160
40,0 17 18 19 28 29 30,"[0, 17, 18, 19, 28, 29, 30]",0,104
41,0 1 14 19 20 30 32,"[0, 1, 14, 19, 20, 30, 32]",19,12
42,17 18 19 27 28 29 30,"[17, 18, 19, 27, 28, 29, 30]",27,539
43,1 11 19 22 23 28 29,"[1, 11, 19, 22, 23, 28, 29]",1,188
44,0 1 14 22 24 29 34,"[0, 1, 14, 22, 24, 29, 34]",29,16
45,9 10 19 24 25 28 29,"[9, 10, 19, 24, 25, 28, 29]",9,464
46,4 14 19 28 29 34 35,"[4, 14, 19, 28, 29, 34, 35]",14,365
47,4 9 19 28 29 34 35,"[4, 9, 19, 28, 29, 34, 35]",9,357
48,0 7 8 19 28 29 31,"[0, 7, 8, 19, 28, 29, 31]",0,80
49,0 7 9 18 24 26 27,"[0, 7, 9, 18, 24, 26, 27]",0,81
50,0 1 14 23 25 28 35,"[0, 1, 14, 23, 25, 28, 35]",28,17
51,0 1 14 19 21 31 33,"[0, 1, 14, 19, 21, 31, 33]",19,13
52,12 13 19 21 26 28 29,"[12, 13, 19, 21, 26, 28, 29]",26,515
53,15 16 19 27 28 29 32,"[15, 16, 19, 27, 28, 29, 32]",27,535
