point,pos,bucket,pairidx,label_u,label_v,type
933,2,0,0,0,1,2cycle
933,3,0,20,1,11,2cycle
933,4,1,10,0,11,fixed
933,7,3,55,6,11,2cycle
933,10,2,1,0,2,2cycle
933,11,2,19,1,10,fixed
933,14,5,39,4,6,2cycle
933,18,3,11,1,2,2cycle
933,23,1,21,2,3,2cycle
933,24,1,15,1,6,2cycle
933,30,6,24,2,6,fixed
933,33,7,3,0,4,2cycle
933,34,4,2,0,3,2cycle
933,36,6,4,0,5,2cycle
933,40,4,64,9,11,2cycle
933,43,8,37,3,11,2cycle
933,44,6,44,4,11,2cycle
933,45,4,13,1,4,2cycle
933,46,5,14,1,5,2cycle
933,48,7,12,1,3,2cycle
933,49,6,18,1,9,2cycle
933,51,7,29,2,11,2cycle
933,52,8,6,0,7,2cycle
933,53,10,48,5,9,fixed
933,54,8,23,2,5,2cycle
933,57,8,53,6,9,2cycle
933,58,9,30,3,4,fixed
933,59,9,65,10,11,2cycle
933,61,10,9,0,10,2cycle
933,63,9,5,0,6,2cycle
933,64,10,62,8,11,2cycle
