q45_vertex,k4_u,k4_v,z4,z3,dual_pair
0,0,33,2,0,"(0, 33)"
1,1,35,2,0,"(1, 35)"
2,2,34,2,0,"(2, 34)"
3,3,42,2,0,"(3, 42)"
4,4,48,2,0,"(4, 48)"
5,5,44,2,0,"(5, 44)"
6,6,49,2,0,"(6, 49)"
7,7,43,2,0,"(7, 43)"
8,8,50,2,0,"(8, 50)"
9,9,36,2,0,"(9, 36)"
10,10,39,2,0,"(10, 39)"
11,11,72,2,0,"(11, 72)"
12,12,54,2,0,"(12, 54)"
13,13,74,2,0,"(13, 74)"
14,14,58,2,0,"(14, 58)"
15,15,76,2,0,"(15, 76)"
16,16,56,2,0,"(16, 56)"
17,17,37,2,0,"(17, 37)"
18,18,41,2,0,"(18, 41)"
19,19,84,2,0,"(19, 84)"
20,20,60,2,0,"(20, 60)"
21,21,87,2,0,"(21, 87)"
22,22,65,2,0,"(22, 65)"
23,23,89,2,0,"(23, 89)"
24,24,62,2,0,"(24, 62)"
25,25,38,2,0,"(25, 38)"
26,26,40,2,0,"(26, 40)"
27,27,78,2,0,"(27, 78)"
28,28,66,2,0,"(28, 66)"
29,29,81,2,0,"(29, 81)"
30,30,70,2,0,"(30, 70)"
31,31,83,2,0,"(31, 83)"
32,32,69,2,0,"(32, 69)"
33,45,51,2,0,"(45, 51)"
34,46,53,2,0,"(46, 53)"
35,47,52,2,0,"(47, 52)"
36,55,73,2,0,"(55, 73)"
37,57,77,2,0,"(57, 77)"
38,59,75,2,0,"(59, 75)"
39,61,85,2,0,"(61, 85)"
40,63,88,2,0,"(63, 88)"
41,64,86,2,0,"(64, 86)"
42,67,79,2,0,"(67, 79)"
43,68,82,2,0,"(68, 82)"
44,71,80,2,0,"(71, 80)"
